userid,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,mostFrequentItemAction
416,55,12060,12060,219.27272727272725,1331.9746195800371,1.5714285714285716,1.243470340376061,2.619047619047619,3.040989813797318,2147483647 v1
316,12,1265,1265,105.41666666666666,179.94769863053054,1.5,0.5345224838248488,2.4,0.8944271909999161,2147483647 window
305,28,1909,1909,68.17857142857142,113.1675433025868,1.4,0.8825799501580879,2.545454545454546,2.1148823307047775,548806 v4
212,66,66141,66141,1002.1363636363643,7745.677452392624,1.0153846153846153,0.12403473458920844,1.8333333333333335,1.2983506020002014,0 next_button
119,170,5070,5070,29.823529411764724,94.29667101750903,1.6666666666666665,0.8712496241553039,5.862068965517241,8.794170706987973,2147483647 v2
102,62,2468,2468,39.80645161290322,47.61107417317792,1.0163934426229508,0.128036879932896,2.1379310344827585,1.3017608385522195,0 next_button
204,54,2720,2720,50.37037037037037,54.07028839069282,1.0,0.0,1.9285714285714284,1.5617789341495933,0 video_end
418,39,2144,2144,54.97435897435897,94.93141213237426,1.0833333333333333,0.3683941988065038,2.7857142857142856,2.9659236835601988,111007 tab-r3
210,66,4410,4410,66.81818181818184,86.34722552950589,1.0,0.0,1.6097560975609757,1.1592680617632793,0 next_button
109,79,257396,257396,3258.177215189871,28521.065587566045,1.0,0.0,2.5483870967741935,2.4198995802501027,0 next_button
313,75,2219,2219,29.58666666666666,73.31385572619573,1.3392857142857142,0.7693394029185795,3.75,5.339771333562594,766669 v4
201,88,16234,16234,184.47727272727275,1271.4094900666573,1.0,0.0,2.3157894736842106,2.5051866538637415,0 next_button
214,92,17759,17759,193.03260869565227,1689.9362719702162,1.0,0.0,3.833333333333333,3.0168608312884304,0 next_button
208,57,2454,2454,43.05263157894737,77.71408703258547,1.163265306122449,0.42558483170760664,2.85,3.3603727863375368,0 back_button
312,59,5678,5678,96.23728813559323,334.17620475880943,1.1346153846153846,0.3974845491556825,1.84375,1.370410228197523,2147483647 v4
114,39,2222,2222,56.97435897435898,96.20550569087077,1.0,0.0,1.8571428571428572,0.9636241116594315,0 play_pause_button
101,61,1990,1990,32.62295081967212,48.944241722742085,1.0338983050847457,0.18252082497293806,2.44,1.416568624058385,0 next_button
410,52,5107,5107,98.21153846153842,273.52974792791423,1.1818181818181819,0.4457931146362431,2.6,3.3934922239021286,1933738 v2
202,61,1983,1983,32.50819672131147,42.11437717724581,1.0,0.0,2.259259259259259,1.4030897935132194,0 next_button
105,60,4118,4118,68.63333333333334,187.5766028077701,1.0169491525423728,0.13018891098082386,2.2222222222222223,1.8045526471705544,0 video_end
315,8,39037,39037,4879.625,13307.033456436273,1.0,0.0,2.0,0.816496580927726,2147483647 window
127,100,20279,20279,202.78999999999982,1745.5979687734123,1.0416666666666667,0.2477973138916758,2.8571428571428568,3.255247863905633,0 next_button
302,35,3462,3462,98.91428571428571,139.12951465716935,1.0294117647058822,0.17149858514250882,1.5909090909090908,0.7341396590302414,3277577 v4
425,47,4734,4734,100.72340425531918,375.5240802866251,1.0217391304347827,0.14744195615489705,2.473684210526316,1.8369183449048445,1593921 window
413,36,3795,3795,105.41666666666664,212.51707494424335,1.1612903225806452,0.5226071943342271,1.8947368421052633,1.2864566686188532,523499 v1
407,3,36336,36336,12112.0,20922.332972209384,1.0,0.0,1.0,0.0,0 play_pause_button
117,45,10877,10877,241.7111111111112,1058.0233418593336,1.0,0.0,1.5517241379310345,0.736119501971158,0 video_end
404,78,3485,3485,44.67948717948716,115.05611206888977,1.0,0.0,2.6896551724137927,2.019608312022444,1222115 v1
205,64,2819,2819,44.046875,94.74852759881209,1.1428571428571428,0.48349377841522834,2.909090909090909,2.8100006932568355,0 next_button
222,56,3307,3307,59.053571428571416,77.4003569742431,1.0,0.0,1.6000000000000003,1.31059034744787,0 video_end
320,91,5370,5370,59.01098901098901,158.97340759493179,1.4918032786885245,1.026692924226001,3.5,3.7336309405188937,3069659 v4
203,45,1564,1564,34.75555555555556,150.21577746022484,1.0975609756097562,0.3744915251898559,5.625,4.955156044825574,0 select_recipe
104,64,2756,2756,43.0625,63.06632311393388,1.0,0.0,2.56,2.1617893822787946,0 next_button
122,70,4211,4211,60.15714285714287,223.36975491773345,1.0,0.0,2.333333333333333,3.506971709996052,0 next_button
421,14,2051,2051,146.5,211.53750349433403,1.1666666666666667,0.5773502691896257,1.75,1.0350983390135313,2147483647 window
126,60,2350,2350,39.16666666666668,53.01556108836464,1.0,0.0,2.307692307692308,3.0168756125399767,0 video_end
121,64,2592,2592,40.5,124.16348669625636,1.0847457627118644,0.38453445176447437,3.3684210526315788,3.8327612082586313,0 next_button
414,4,29,29,7.25,7.274384280931732,1.0,0.0,2.0,1.4142135623730951,0 play_pause_button
422,248,5499,5499,22.173387096774224,165.4052751210609,1.722222222222223,1.937644898960525,6.048780487804878,9.192255489030412,911808 v3
112,83,3722,3722,44.843373493975896,93.58151291367574,1.0,0.0,3.074074074074074,2.7585660422920113,0 next_button
123,88,4629,4629,52.60227272727273,81.31668471578355,1.0864197530864197,0.47951879171200296,2.3157894736842106,2.3948736146520284,0 next_button
220,176,2005,2005,11.392045454545455,56.01489336971714,1.2137931034482758,0.6990688936061046,8.8,7.804182414442574,0 back_button
324,51,3192,3192,62.588235294117645,90.51744063341346,1.1333333333333333,0.5045249791095126,1.8888888888888888,2.154303980645638,973158 v4
217,74,2207,2207,29.824324324324323,54.856065237791384,1.1384615384615384,0.4285485341870231,3.083333333333333,3.3868886153450077,0 next_button
115,14,386,386,27.571428571428573,44.69333849126182,1.0,0.0,2.8,1.6431676725154984,0 play_pause_button
110,63,3553,3553,56.396825396825385,68.9542952140693,1.0,0.0,1.852941176470588,2.1480414326625397,0 video_end
318,111,4434,4434,39.94594594594595,102.65439262069752,1.3703703703703705,0.6213783960769084,3.9642857142857144,3.4154566188642943,1814934 v4
103,72,4693,4693,65.18055555555554,159.33703550711004,1.0,0.0,1.945945945945946,1.3111900011894613,0 play_pause_button
309,14,46,46,3.285714285714286,5.41264291235837,1.2727272727272727,0.46709936649691375,7.0,5.656854249492381,12833 v4
415,70,154852,154852,2212.17142857143,18131.166655486537,1.4893617021276595,1.1396479323921644,3.5,3.120391338480345,2147483647 v3
113,41,1167,1167,28.463414634146346,67.72521596900802,1.025,0.15811388300841894,4.1,3.8715486421958962,0 next_button
215,26,176,176,6.769230769230769,16.13271878465051,1.04,0.20000000000000007,6.5,4.43471156521669,0 next_button
